advance_memo_counted_by_old;both_count;customer_id;diff_reason;net_due;new_only_count;old_51_count;old_51_rupees;old_only_count;paid_amount;receipts_cn_netted;receipts_memo_excl;receipts_same_day;sale_number;section;set_91_count;set_91_rupees;shape;tender;tender_residual
0;;0616f278-8878-45fb-9dd4-ea899dfeb039;BOTH;2745;;1;2745;;2745.00;5490;5490;0;POS/26-27/221;bill;1;2745;EXACT_DOUBLE_RECEIPT;0;0
0;;98529989-4d61-4fd6-b685-4832fd2583ca;BOTH;2705;;1;1584;;2705;4289;4289;0;POS/26-27/2358;bill;1;4289;RECEIPT_DUPLICATES_AT_SALE_TENDER;2705;2705
0;;71b043b8-957c-472d-98ce-203fc4e35877;BOTH;570;;1;570;;570.00;1140;1140;0;POS/26-27/292;bill;1;570;EXACT_DOUBLE_RECEIPT;0;0
0;;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;BOTH;1977;;1;1977.00;;1977.00;3954.00;3954.00;1977.00;POS/26-27/378;bill;1;1977.00;EXACT_DOUBLE_RECEIPT;0;0
0;;1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;BOTH;2000;;1;2000;;2000.00;4000;4000;0;POS/26-27/416;bill;1;2000;EXACT_DOUBLE_RECEIPT;0;0
0;;bc266355-68d6-424b-b71c-855aad2395c4;BOTH;0;;1;1599.00;;0;1599.00;1599.00;1599.00;POS/26-27/459;bill;1;1599.00;NET_DUE_ZERO;0;0
0;;bc266355-68d6-424b-b71c-855aad2395c4;BOTH;0;;1;1599.00;;0;1599.00;1599.00;1599.00;POS/26-27/478;bill;1;1599.00;NET_DUE_ZERO;0;0
0;;0616f278-8878-45fb-9dd4-ea899dfeb039;BOTH;3149;;1;3149;;3149.00;6298;6298;0;POS/26-27/536;bill;1;3149;EXACT_DOUBLE_RECEIPT;0;0
0;;721fd1c2-29dc-486f-b543-68bfb4870ec2;BOTH;3300;;1;3300;;3300.00;6600;6600;0;POS/26-27/558;bill;1;3300;EXACT_DOUBLE_RECEIPT;0;0
0;;0616f278-8878-45fb-9dd4-ea899dfeb039;BOTH;3900;;1;3900;;3900.00;7800;7800;0;POS/26-27/580;bill;1;3900;EXACT_DOUBLE_RECEIPT;0;0
0;;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;BOTH;2299;;1;2299;;2299.00;4598;4598;0;POS/26-27/610;bill;1;2299;EXACT_DOUBLE_RECEIPT;0;0
0;;30615061-3f6f-4433-99f6-cd8a93d8276f;BOTH;0;;1;100;;1600;100;100;0;POS/26-27/686;bill;1;1600;NET_DUE_ZERO;1500;1500
0;;0616f278-8878-45fb-9dd4-ea899dfeb039;BOTH;1500;;1;1500;;1500.00;3000;3000;0;POS/26-27/70;bill;1;1500;EXACT_DOUBLE_RECEIPT;0;0
0;;5d17dd09-5cde-4876-87c6-dc8e47f15b23;BOTH;9185;;1;6035;;9185;15220;15220;0;POS/26-27/771;bill;1;7035;RECEIPT_OVER_PARTIAL;1000;1000
0;;8538501f-2f0b-4f69-8974-d96aaf06b682;BOTH;13699.9;;1;13700.1;;13699.90;27400;27400;0;POS/26-27/808;bill;1;13700.1;EXACT_DOUBLE_RECEIPT;0;0
0;;;BOTH;15862;;1;15862;;15862.00;31724;31724;0;POS/26-27/85;bill;1;15862;EXACT_DOUBLE_RECEIPT;0;0
0;;dde74df8-fe5d-48c8-a010-d33f290b98bc;BOTH;2770;;1;2770;;2770.00;5540;5540;0;POS/26-27/853;bill;1;2770;EXACT_DOUBLE_RECEIPT;0;0
0;;32d34671-e02d-438e-8b21-dac59eca0822;NEW_ONLY_AT_SALE_TENDER;9850;;0;0;;9850;4000;4000;0;POS/25-26/1214;bill;1;250;MIXED_TENDER_PLUS_RECEIPT_OVER;6100;6100
0;;07e95598-84b7-4e94-bb55-6ec0a961becd;NEW_ONLY_AT_SALE_TENDER;6500;;0;0;;6500.00;6500;6500;0;POS/25-26/134;bill;1;3000;MIXED_TENDER_PLUS_RECEIPT_OVER;3000;3000
0;;b9bd7c57-36e6-458c-8867-fb88d4bf4001;NEW_ONLY_AT_SALE_TENDER;4100;;0;0;;4100;4100;4100;0;POS/25-26/667;bill;1;4100;RECEIPT_DUPLICATES_AT_SALE_TENDER;4100;4100
0;;75d1295d-eaf0-4dd4-b884-f62c94e1ad18;NEW_ONLY_AT_SALE_TENDER;8200;;0;0;;8200;4200;4200;0;POS/25-26/678;bill;1;4200;RECEIPT_DUPLICATES_AT_SALE_TENDER;8200;8200
0;;823962af-2422-49ff-b907-36bd2fb568fe;NEW_ONLY_AT_SALE_TENDER;2800;;0;0;;2800.00;2800;2800;0;POS/25-26/714;bill;1;1000;MIXED_TENDER_PLUS_RECEIPT_OVER;1000;1000
0;;1167547a-2ef1-4931-8993-2cb21ebcb619;NEW_ONLY_AT_SALE_TENDER;81200;;0;0;;81200;12000;12000;0;POS/25-26/717;bill;1;6000;MIXED_TENDER_PLUS_RECEIPT_OVER;75200;75200
0;;7f1ca914-dd1f-4c93-8902-934513b0c1cf;NEW_ONLY_AT_SALE_TENDER;1775;;0;0;;1775;1278;1278;0;POS/25-26/953;bill;1;1278;RECEIPT_DUPLICATES_AT_SALE_TENDER;1775;1775
0;;7fb7d5d7-755b-410b-9158-444ab8f69de6;NEW_ONLY_AT_SALE_TENDER;1205;;0;0;;1205;1205;1205;0;POS/26-27/1047;bill;1;1205;RECEIPT_DUPLICATES_AT_SALE_TENDER;1205;1205
0;;52295574-5fc4-4f03-93a7-f9dd9b3932b8;NEW_ONLY_AT_SALE_TENDER;10309.6;;0;0;;10310;5310;5310;0;POS/26-27/1050;bill;1;5310.4;RECEIPT_DUPLICATES_AT_SALE_TENDER;10310;10310
0;;a6aad82f-0e2f-41fd-b60d-b109600be6e0;NEW_ONLY_AT_SALE_TENDER;2394;;0;0;;2394;2394;2394;0;POS/26-27/1297;bill;1;1000;MIXED_TENDER_PLUS_RECEIPT_OVER;1000;1000
0;;70a1d1cc-b534-49e2-8461-989b26fe1935;NEW_ONLY_AT_SALE_TENDER;1150.0004999999999;;0;0;;1150;150;150;0;POS/26-27/1312;bill;1;149.9995000000001;RECEIPT_DUPLICATES_AT_SALE_TENDER;1150;1150
0;;5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEW_ONLY_AT_SALE_TENDER;2750.1;;0;0;;2750.1;2750;2750;0;POS/26-27/1326;bill;1;2750.0;RECEIPT_DUPLICATES_AT_SALE_TENDER;2750.1;2750.1
0;;70a1d1cc-b534-49e2-8461-989b26fe1935;NEW_ONLY_AT_SALE_TENDER;1700;;0;0;;1700;1200;1200;0;POS/26-27/1353;bill;1;1200;RECEIPT_DUPLICATES_AT_SALE_TENDER;1700;1700
0;;0e55c65b-151d-4192-9201-99ce4033d1d1;NEW_ONLY_AT_SALE_TENDER;1200;;0;0;;1200;200;200;0;POS/26-27/1363;bill;1;200;RECEIPT_DUPLICATES_AT_SALE_TENDER;1200;1200
0;;ffe63ae6-51bf-43bf-8bd5-7a17c7f7075c;NEW_ONLY_AT_SALE_TENDER;3299.99990001;;0;0;;3300;2800;2800;0;POS/26-27/1411;bill;1;2800.00009999;RECEIPT_DUPLICATES_AT_SALE_TENDER;3300;3300
0;;cbf33d65-e373-4be0-9f96-c3160f01a0f5;NEW_ONLY_AT_SALE_TENDER;2250;;0;0;;2250;250;250;0;POS/26-27/1445;bill;1;250;RECEIPT_DUPLICATES_AT_SALE_TENDER;2250;2250
