customer_id;customer_repair_bills;gate;over_credit_greatest;over_credit_ledger;paid_amount;receipt_over;receipts_after;receipts_live;receipts_same_day;sale_number;section;shape;sibling_snap_bills;sibling_snap_drop;snap_drop_self;tender;tender_residual
bc266355-68d6-424b-b71c-855aad2395c4;3;NEEDS_BUCKET_G;0;1500;3000;	-1500;1500;3000;0;POS/26-27/454;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0;1500;3000;3000
bc266355-68d6-424b-b71c-855aad2395c4;3;NEEDS_BUCKET_G;1599.00;1599.00;0;1599.00;0;1599.00;1599.00;POS/26-27/459;bill;NET_DUE_ZERO;1;1500;0;0;0
bc266355-68d6-424b-b71c-855aad2395c4;3;NEEDS_BUCKET_G;1599.00;1599.00;0;1599.00;0;1599.00;1599.00;POS/26-27/478;bill;NET_DUE_ZERO;1;1500;0;0;0
c085667a-c7ba-4a9f-b842-cead6f56310a;1;NEEDS_BUCKET_G;0.0004;400.0004;3000;0.0004;2599.9996;3000;0;POS/26-27/765;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0;400;400;400
c6633e62-9c59-4c9d-bf64-d879faf9f264;1;NEEDS_BUCKET_G;0;3000;17800.00;0;14800;17800;0;POS/26-27/185;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0;3000;3000;3000
ff3547a1-d241-4fff-8465-665ee86707bb;1;NEEDS_BUCKET_G;9000;10000;11000.00;9000;10000;20000;0;POS/25-26/123;bill;RECEIPT_OVER_PARTIAL;0;0;1000;1000;1000
02d461c8-bcf3-4303-8534-158f409eff3f;1;REPAIR_SUFFICIENT_SNAP;300;4300;4000;300;0;4300;0;POS/25-26/820;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;4000;4000
0616f278-8878-45fb-9dd4-ea899dfeb039;5;REPAIR_SUFFICIENT_SNAP;0;7584;12584;	-5000;0;7584;0;POS/26-27/1787;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;12584;12584
0616f278-8878-45fb-9dd4-ea899dfeb039;5;REPAIR_SUFFICIENT_SNAP;2745;2745;2745.00;2745;2745;5490;0;POS/26-27/221;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;5;REPAIR_SUFFICIENT_SNAP;3149;3149;3149.00;3149;3149;6298;0;POS/26-27/536;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;5;REPAIR_SUFFICIENT_SNAP;3900;3900;3900.00;3900;3900;7800;0;POS/26-27/580;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;5;REPAIR_SUFFICIENT_SNAP;1500;1500;1500.00;1500;1500;3000;0;POS/26-27/70;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
1934e513-a1cf-4f56-9032-8cdff11eacda;1;REPAIR_SUFFICIENT_SNAP;1550;1550;4800;	-3250;0;0;0;POS/26-27/483;bill;TENDER_ONLY_OVER;0;0;0;4800;4800
1ad6cd52-ce9c-48fd-85e0-12300ddd2a70;1;REPAIR_SUFFICIENT_SNAP;2000;2000;2000.00;2000;2000;4000;0;POS/26-27/416;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
1c0febc4-3205-4c24-90a2-e17fae6f8aec;1;REPAIR_SUFFICIENT_SNAP;1005;1005;1005;0;0;0;0;POS/26-27/308;bill;TENDER_ONLY_OVER;0;0;0;1005;1005
1ce7dbea-7da0-4c3b-b805-be5d39cb4779;1;REPAIR_SUFFICIENT_SNAP;3841.713000000001;3841.713000000001;7972;3841.713000000001;7972.286999999999;11814;0;INV/26-27/157;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
1f98d2c7-28c2-417a-bdcc-0d41eccb467e;1;REPAIR_SUFFICIENT_SNAP;1000;1000;11500;1000;10500;11500;0;INV/26-27/262;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
2035a643-eaf4-4ac3-86d9-af901c69e968;1;REPAIR_SUFFICIENT_SNAP;1349.9981000000007;1349.9981000000007;3650;	-2300.0018999999993;0;0;0;POS/26-27/1601;bill;TENDER_ONLY_OVER;0;0;0;3650;3650
21103e57-b6bc-46b1-a9fe-6fc5d8731207;1;REPAIR_SUFFICIENT_SNAP;415;415;1565;0;0;0;0;POS/26-27/2261;bill;TENDER_ONLY_OVER;0;0;0;415;415
214db117-3616-4508-ac9f-3fcbb05903e1;1;REPAIR_SUFFICIENT_SNAP;50;50;3100;50;3050;3100;0;INV/25-26/1229;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
2bc8adb1-9f63-464d-9b63-e9184b9427aa;1;REPAIR_SUFFICIENT_SNAP;300;300;300;0;0;0;0;POS/26-27/1076;bill;TENDER_ONLY_OVER;0;0;0;300;300
2fcbb26b-e1d5-40aa-a528-a6374cabeb43;1;REPAIR_SUFFICIENT_SNAP;5250;5250;5250;5250;5250;10500;0;INV/26-27/1089;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
30615061-3f6f-4433-99f6-cd8a93d8276f;1;REPAIR_SUFFICIENT_SNAP;1500;1600;1600;100;0;100;0;POS/26-27/686;bill;NET_DUE_ZERO;0;0;0;1500;1500
3063c897-8909-40c9-808c-cdbb94344f40;1;REPAIR_SUFFICIENT_SNAP;10000;10000;20000;10000;20000;30000;30000;INV/25-26/799;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
30d72f5a-27b0-43e5-a651-e7b8b8d913f1;1;REPAIR_SUFFICIENT_SNAP;200;200;200;200;0;200;0;POS/26-27/1002;bill;NET_DUE_ZERO;0;0;0;0;0
3442fa9c-0d6b-47f5-b631-4c30dc3faf46;1;REPAIR_SUFFICIENT_SNAP;1300;1300;4500;1300;3200;4500;1300;INV/25-26/443;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
3453e4b4-8ef0-4501-8add-4dd1a35def5b;1;REPAIR_SUFFICIENT_SNAP;800;800;800;0;0;0;0;POS/26-27/627;bill;TENDER_ONLY_OVER;0;0;0;800;800
3c2e5760-cc73-4b81-87f8-567fcd178448;1;REPAIR_SUFFICIENT_SNAP;0;4500;4500;0;0;4500;0;POS/26-27/513;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;4500;4500
4046e7f4-ad50-43f8-9199-603520253a00;2;REPAIR_SUFFICIENT_SNAP;800;2300;1500;800;0;2000;0;POS/25-26/818;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;1500;1500
4046e7f4-ad50-43f8-9199-603520253a00;2;REPAIR_SUFFICIENT_SNAP;600;600;600;0;0;0;0;POS/26-27/1773;bill;TENDER_ONLY_OVER;0;0;0;600;600
4ae59409-3fc8-413b-b0e4-2e3664641653;1;REPAIR_SUFFICIENT_SNAP;349;349;349;0;0;0;0;POS/26-27/1781;bill;TENDER_ONLY_OVER;0;0;0;349;349
51aa2720-b144-466d-a233-ff0340dd7de8;1;REPAIR_SUFFICIENT_SNAP;455;455;455;0;0;0;0;POS/26-27/400;bill;TENDER_ONLY_OVER;0;0;0;455;455
52295574-5fc4-4f03-93a7-f9dd9b3932b8;1;REPAIR_SUFFICIENT_SNAP;0.4;5310.4;10310;	-4999.6;0;5310;0;POS/26-27/1050;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;10310;10310
526460c5-f9ef-4bb7-82f5-5ca90461aeb1;1;REPAIR_SUFFICIENT_SNAP;250;250;250;250;250;500;500;INV/26-27/1621;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
5b80d18e-07f5-4833-8032-136a120eb433;1;REPAIR_SUFFICIENT_SNAP;639;639;15563;639;15563;16202;0;INV/25-26/255;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
672235d8-8aa6-43e4-8678-f15cc87748f5;1;REPAIR_SUFFICIENT_SNAP;3749;3749;14000;	-10251;0;0;0;POS/26-27/2568;bill;TENDER_ONLY_OVER;0;0;0;14000;14000
673053a2-daed-42fb-a4ae-e07cfddb7926;1;REPAIR_SUFFICIENT_SNAP;311;311;311;0;0;0;0;POS/26-27/2512;bill;TENDER_ONLY_OVER;0;0;0;311;311
6cb1c580-35fa-4d50-b592-025f36ab12b6;2;REPAIR_SUFFICIENT_SNAP;3999;3999;6300;	-2301;0;0;0;POS/26-27/1970;bill;TENDER_ONLY_OVER;0;0;0;6300;6300
6cb1c580-35fa-4d50-b592-025f36ab12b6;2;REPAIR_SUFFICIENT_SNAP;4200;4200;4200;0;0;0;0;POS/26-27/569;bill;TENDER_ONLY_OVER;0;0;0;4200;4200
71b043b8-957c-472d-98ce-203fc4e35877;2;REPAIR_SUFFICIENT_SNAP;5570;5570;5570.00;5570;5570;11140;5570;POS/26-27/1116;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
71b043b8-957c-472d-98ce-203fc4e35877;2;REPAIR_SUFFICIENT_SNAP;570;570;570.00;570;570;1140;0;POS/26-27/292;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
721fd1c2-29dc-486f-b543-68bfb4870ec2;1;REPAIR_SUFFICIENT_SNAP;3300;3300;3300.00;3300;3300;6600;0;POS/26-27/558;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
7383a57f-3e10-4fca-b67c-14b2fb151ec8;1;REPAIR_SUFFICIENT_SNAP;3200;3200;12400;3200;9200;12400;0;INV/25-26/733;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
74144686-b986-45c9-8377-194bfacf6269;1;REPAIR_SUFFICIENT_SNAP;1299;1299;3891;	-2592;0;0;0;POS/26-27/672;bill;TENDER_ONLY_OVER;0;0;0;3891;3891
75d1295d-eaf0-4dd4-b884-f62c94e1ad18;1;REPAIR_SUFFICIENT_SNAP;0;4200;8200;	-4000;0;4200;0;POS/25-26/678;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;8200;8200
7f1ca914-dd1f-4c93-8902-934513b0c1cf;1;REPAIR_SUFFICIENT_SNAP;0;1278;1775;	-497;0;1278;0;POS/25-26/953;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;1775;1775
